predictor_instances,abs_potential_threshold_steps,Mean,Median,StdDev,Min,Max,SharpeRatio,trading_quantity_per_leverage_factor,sell_opposite_direction_if_no_cash,sell_all_opposite_products_if_no_cash,include_open_leverage_category,precalculate_predictor_observations,leverage_categories,date
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.0075, 0.1)",0.0962490742079951,0.0750187765961461,0.1798585367806129,-0.3659354061137947,1.0608712250813823,0.6362822610623557,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925]","(0.0025, 0.0075, 0.1)",0.0928327838053986,0.0794995147147101,0.1739594884455604,-0.3602497792649071,0.9015557032760266,0.625584948749193,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.004, 0.015, 0.2)",0.0768204405252001,0.0474265881894422,0.1859355966053175,-0.3387966307360565,1.4196490441424094,0.5041889961437356,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
[LSTM_c2_ValHR0.7051],"(0.0025, 0.0075, 0.1)",0.0746454416485643,0.0345174340869951,0.2720643662109204,-0.4281853209883469,2.4496028070461286,0.3058079768151811,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051, LSTM_d1_ValHR0.6667]","(0.0025, 0.0075, 0.1)",0.0736657478519651,0.0540999625094138,0.1566221213209274,-0.3659351643969719,0.7028746137901251,0.5700754245346816,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
[LSTM_c2_ValHR0.7051],"(0.004, 0.015, 0.2)",0.0685834299355729,0.0365697982174406,0.243572397049373,-0.4252256533620775,2.1713009848102938,0.3176565196668549,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
[LSTM_c2_ValHR0.7051],"(0.01, 0.04, 0.3)",0.0682567458595201,0.0371417318810484,0.2482801425571216,-0.4157676266767297,2.171315435056454,0.3112520001319705,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.01, 0.04, 0.3)",0.0596430013531317,0.0348137894785586,0.1751793616545948,-0.3150535494054395,1.3852603498423537,0.4400689129302522,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925]","(0.004, 0.015, 0.2)",0.0593683355955828,0.050886860891877,0.1319315270448398,-0.3333346316802312,0.6580271321509136,0.5839703096460249,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
[LSTM_c2_ValHR0.7051],"(0.025, 0.075, 0.6)",0.0542175755714354,0.0103548429906819,0.2413799261270602,-0.3447929008512355,2.30506712584032,0.264858187507965,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
